Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
Abalone,26301110,2404,Shellfish,177,21.24,7.46,0,0,6.12,0.877,2.326,2.116,106,2,2,0,0,0,0,0,0.201,0.118,1.77,0.168,0,5,5,5,80.7,0.77,0,2,0,5.95,0,33.8,39,236,60,3.97,1.02,0.243,55.6,310,574,0,0,0,0,0,0,0,0,0.031,0.624,0.175,0.043,2.245,0.035,0,1.768,0.226,0.007,0,0.061,0.051,0,62.72
Agave liquid sweetener,91302020,8802,Sugars and honey,310,0.09,76.37,68.03,0.2,0.45,0,0,0,0,0,8,0,94,0,0,0,0.122,0.165,0.689,0.234,0,30,30,30,13.3,0,0,17,0,0.98,0,22.5,1,1,1,0.09,0.01,0.009,1.7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94
Alcoholic malt beverage,93106100,7502,Beer,58,0.9,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,1.1,0.09,0,18,18,18,10.1,0.02,0,0,0,0,0,0,8,32,12,0.03,0.01,0.008,0.6,62,4,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
"Alfalfa sprouts, raw",75100500,6420,Other vegetables and combinations,23,3.99,2.1,0.2,1.9,0.69,0.069,0.056,0.409,0,0,8,6,87,6,0,0,0.076,0.126,0.481,0.034,0,36,36,36,14.4,0,0,8.2,0,0.02,0,30.5,32,70,27,0.96,0.92,0.157,0.6,79,6,0,0,0,0,0,0,0,0,0.002,0.059,0.008,0,0.056,0,0,0.234,0.175,0,0,0,0,0,92.82
Alfredo sauce,14650160,8412,"Dips, gravies, other sauces",150,2.12,1.77,0.9,0,15,8.523,3.125,0.622,44,136,137,0,6,0,0,0,0.011,0.074,0.022,0.013,0,2,2,2,6.4,0.07,0,0.2,0.5,0.3,0,1.3,66,50,4,0.02,0.29,0.008,2.7,39,552,0,0,0,0.318,0.256,0.159,0.373,0.44,1.395,3.932,1.355,0.251,3.25,0.026,0.001,0.363,0.055,0.001,0.023,0.004,0.008,0,79.37
Almond butter,42200500,2804,Nuts and seeds,641,20.67,21.11,4.4,9.6,52.72,4.225,34.493,12.525,0,0,0,0,1,0,0,1,0.094,0.933,3.886,0.083,0,42,42,42,51.8,0,0,0,0,16.57,0,0,263,504,266,4.08,3.16,0.969,0.8,741,232,0,0,0,0,0,0,0,0,0.007,3.28,0.814,0.246,34.095,0.019,0,12.525,0.007,0,0,0,0,0,1.74
"Almond butter and jelly sandwich, on wheat bread",42304040,3722,Peanut butter and jelly sandwiches,372,12.04,42.86,13.19,5.8,17.2,1.594,10.205,4.418,0,0,0,0,2,0,0,38,0.24,0.386,3.733,0.113,8,43,56,51,28,0,0,0.2,0,4.92,0,3,163,234,107,2.89,1.64,0.381,15.1,322,307,0,0,0,0,0,0.001,0.002,0.005,0.006,1.172,0.36,0.079,10.076,0.013,0,4.334,0.082,0,0.001,0.001,0,0,25.61
"Almond butter and jelly sandwich, on white bread",42304030,3722,Peanut butter and jelly sandwiches,374,10.98,44.88,13.26,4.2,16.99,1.648,10.239,4.581,0,0,0,0,1,0,0,28,0.299,0.4,3.667,0.077,46,26,104,72,24.5,0,0,0.2,0,4.85,0,0.2,189,206,92,3,1.38,0.345,12.7,284,313,0,0,0,0.002,0.001,0.003,0.003,0.007,0.01,1.202,0.368,0.082,10.121,0.011,0,4.479,0.109,0,0.001,0.001,0,0,24.94
"Almond butter sandwich, on wheat bread",42304020,3722,Peanut butter and jelly sandwiches,395,14.62,36.97,4.93,6.9,20.93,1.939,12.423,5.378,0,0,0,0,1,0,0,42,0.292,0.464,4.536,0.133,9,52,68,62,31.9,0,0,0.1,0,5.99,0,3.6,197,284,130,3.48,1.98,0.462,18.3,381,368,0,0,0,0,0,0.001,0.002,0.006,0.007,1.427,0.438,0.097,12.267,0.016,0,5.276,0.1,0,0.001,0.001,0,0,24.7
"Almond butter sandwich, on white bread",42304010,3722,Peanut butter and jelly sandwiches,397,13.34,39.43,5.01,4.9,20.68,2.005,12.465,5.576,0,0,0,0,0,0,0,29,0.363,0.481,4.456,0.089,56,31,126,87,27.5,0,0,0,0,5.91,0,0.1,229,249,110,3.61,1.67,0.418,15.4,334,374,0,0,0,0.003,0.001,0.004,0.003,0.008,0.012,1.462,0.447,0.1,12.322,0.014,0,5.452,0.133,0,0.001,0.001,0,0,23.89
